Title,ReplyIndex,CrawlingTime,Content,Like,Hate
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,8,2020.9.16 0:34,진짜 이건 아뇨 국민들 반이상이 통신비 싫다는데 말이 안 들리냐 귀있는 자는 들을 찌어다 통신비는 세금 낭비요 코로나 시국이니 전국민 무료 독감접종으로 합시다 응답하라,14,1
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,9,2020.9.16 0:34,가족 명의 해야 힐인이 대서 대부분 집이 묶어서 하는 구만 ㅡㅡ 장난치냐?그냥 통장에 꽂아주고 알아서 해 그래야지,13,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,10,2020.9.16 0:34,전 국민 독감예방비에 쓸수 있게 지원해주세요. 뜬금없이 통신비 지원이래요??,15,5
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,11,2020.9.16 0:34,모든 할인받아 한달4400원 나오는데 그럼 통신사만 좋은거 아닌가?,11,1
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,12,2020.9.16 0:34,차라리 마스크나 사서 한집에 100장씩 동사무소에서 나눠줬으면 더 나을 것같네요.아니면 농수산물 쿠폰줘서 필요한 거 시킬수 있게 하거나.통신사에 돈을 뭉탱이로 주다니,11,1
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,13,2020.9.16 0:34,조선족들 중국인 외국인 긴급생계비지원하면서 이나라에서 나고자란 국민들은 2만원 참 웃긴정권이다,10,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,14,2020.9.16 0:34,통신요금 이건 진짜 왜 주는건지... 이건 정치라고 밖에 볼 수없는듯. 아프거나 진짜 소외계층 도우면 진짜 감사할듯.,10,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,15,2020.9.16 0:34,골때리는 정부~~국민대다수가 반대하는 짓거리만하는구만~국민건강을 위해 국민에게 독감백신 접종해주면 얼마나 좋아~얼마나 건강한 생각이냐구~~이렇게 소통이안되는 정부를 믿고 어떻게 살아가야하나~~이젠 지쳐서 욕두 안나온다~이놈의 정권만 끝나길 학수고대할뿐~~,10,1
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,16,2020.9.16 0:34,안해줘도 된다는거 왜 굳이...,9,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,17,2020.9.16 0:34,2만원 받고 3만원 뱉을듯,10,2
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,18,2020.9.16 0:34,차라리 독감주사나 무료로 놔달라니깐......,8,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,19,2020.9.16 0:34,어이없다..자식들 핸폰은 부모 명의데...왜 저따위지,8,0
[재난지원금 Q&A①]통신비 9월 요금서 2만원 차감…1인 1대…,20,2020.9.16 0:34,해주고도 욕얻어 먹는짓 하네진짜로,8,0
[앵커의 눈] 삼성·LG에 부품업체도 타격…수요 이동 ‘기대…,1,2020.9.16 0:34,"미국과 중국의 경제전쟁으로 우리나라 기업이 피해를 보게되어 정말 안타깝습니다. 대기업인 삼성, LG, SK의 중국 수출길이 막히면 그 밑에 작은 부품 회사들도 큰 타격을 받게 되네요. 코로나로 전세계가 힘든데, 미중 경제전쟁과 보복으로 더 힘들어진 우리나라 모든 기업들! 기운내세요. 항상 응원하겠습니다.",80,8
[앵커의 눈] 삼성·LG에 부품업체도 타격…수요 이동 ‘기대…,2,2020.9.16 0:34,"특히 주목해야 한 점은 코로나! 우한연구소에서 우한바이러스 유출했다는 증거를 가지고 있다는 연구원이 얼마전 미국으로 망명했음. 우한연구소 유출 증명되면, 세계 각국에서 피해 보상금 청구할텐데, 중국에 위기가 올것임. 이제 친중에서 친미로 가야할 때임. 아마도 미국에서 이를 핑계로 대북제재보다도 막강한 대중제재가 나올 듯함. 기업들은 이에 대비해서 대응방안을 마련해야함. 최소한 현재 추진하고 있는 중국 투자를 보류해야 하지 않을까 생각함.",35,2
[앵커의 눈] 삼성·LG에 부품업체도 타격…수요 이동 ‘기대…,3,2020.9.16 0:34,미국이 만든 룰에 놀고 싶고.. 반칙은 하고..미국 최고의 상품은 뭔가... 유튜브 페이스북등... 중국은 다 막죠.. 고스톱도 동네 룰이 있음.. 놀고 싶으면 룰을 지켜야지.. 왜 반칙을함.. 반칙을 하니 안끼워 주는것 아닙니까. 자꾸 편법 위법을 쓰니,27,3
[앵커의 눈] 삼성·LG에 부품업체도 타격…수요 이동 ‘기대…,4,2020.9.16 0:34,"삼성전자 최대의 경쟁자를 없애주겠다는데 저런 기사 쏟아내네 ㅋㅋ 화웨이가 이미 반도체 사재기해놔서 매출 미리 다 뽑았고, 화웨이꺼 5g 매출 가져올게 뻔히보이는데다가, 중국에서 삼성전자 휴대폰 시장점유율도 낮은데 뭔 상관입니까 ㅋㅋㅋ",25,1
[앵커의 눈] 삼성·LG에 부품업체도 타격…수요 이동 ‘기대…,5,2020.9.16 0:34,멀리 보고 대국적 견지에서 생각해야 할듯 합니다.우선은 대 화웨이 수출이 줄겠지만 장차는 큰 수익으로 돌아 올게 분명합니다.,21,2
