,Title,ReplyIndex,CrawlingTime,Content,Like,Hate
22,"SK 최태원 장남, SK E&S 신입사원 입사",3,2020-09-21 23:45,꼭성공해서 엄마를기쁘게해드릴것!,78,5
23,"SK 최태원 장남, SK E&S 신입사원 입사",4,2020-09-21 23:45,신입사원 무슨 의미가있니.. 도련님께서,66,4
24,"SK 최태원 장남, SK E&S 신입사원 입사",5,2020-09-21 23:45,군에 장교로 지원하여 복무하던 둘째 딸의 모습을 보고서 SK그룹의 미내는 그나마 순탄하게 이어갈것 같다는 생각을 해 본다.,55,19
25,"SK 최태원 장남, SK E&S 신입사원 입사",6,2020-09-21 23:45,절마 직속상사 불쌍해...,23,0
26,"SK 최태원 장남, SK E&S 신입사원 입사",7,2020-09-21 23:45,진짜 뭐 같겠다...같이 일하는 사람들은...,17,0
27,"SK 최태원 장남, SK E&S 신입사원 입사",8,2020-09-21 23:45,같은부서 사람들 시집살이 장난 아니겠네,10,0
28,"SK 최태원 장남, SK E&S 신입사원 입사",9,2020-09-21 23:45,"그래 아주 좋은 일이네요. 당연히 진급은 쾌속이겠지만 절차를 밟는다 는 것 자체가 대단하네요, 강추",7,2
29,"SK 최태원 장남, SK E&S 신입사원 입사",10,2020-09-21 23:45,회장 아들 얼굴 모르는 애들 알아서 기라고 선빵치는 거냐? 밑에 애들 힘들게 하지말고 그냥 실장으로가~ 어차피 적응 못해,5,0
30,"SK 최태원 장남, SK E&S 신입사원 입사",11,2020-09-21 23:45,어이!!김부장네!!최사원님 부르셨습니까?,5,0
31,"SK 최태원 장남, SK E&S 신입사원 입사",12,2020-09-21 23:45,노태우 외손자인가,5,0
32,"SK 최태원 장남, SK E&S 신입사원 입사",13,2020-09-21 23:45,면접관들이 오랜만에 긴장했겠군,5,0
33,"SK 최태원 장남, SK E&S 신입사원 입사",14,2020-09-21 23:45,25살에 대학도 갔다오고 입사면 군대는?,5,1
34,"SK 최태원 장남, SK E&S 신입사원 입사",15,2020-09-21 23:45,이게 네이버 일면이다. 하하하,5,1
35,"SK 최태원 장남, SK E&S 신입사원 입사",16,2020-09-21 23:45,무서워서 뭐 시키것나??,4,0
36,"SK 최태원 장남, SK E&S 신입사원 입사",17,2020-09-21 23:45,어디 무서워서 건들겠냐...? 민폐다 민폐.. 차라리 그냥 sk 계열사 하나 차려줘라... 하..,4,0
37,"SK 최태원 장남, SK E&S 신입사원 입사",18,2020-09-21 23:45,처음쫌 보다가 내가이걸 왜 읽고있지? 라고생각했다,4,0
38,"SK 최태원 장남, SK E&S 신입사원 입사",19,2020-09-21 23:45,내가 왜 관심을 가져야 할까.. 쓸데없는 정보가 내 뇌 속에 들어왔네 참..,4,1
39,"SK 최태원 장남, SK E&S 신입사원 입사",20,2020-09-21 23:45,저 신입사원에게 복사 심부름 가능한가요?,3,0
40,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,1,2020-09-21 23:45,통신사에서 이런문자를 아예보내지 못하게 금지단어로 차단해라.정보통신부에서 하는일이 뭣이냐?미쿡영화에서는 아예 발신도 못하게하더구먼.ㅉㅉㅉㅉ,883,8
41,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,2,2020-09-21 23:45,통신사에서 요금받아먹으니 통신사에서 기본적으로 막아줘야지 돈값해야지 성과금파티좀 그만하고,331,4
42,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,3,2020-09-21 23:45,"일부러 막지 않는 통신사, 그리고 관련 공무원 모두 교도소로 보내라......그럼 해결된다.",182,5
43,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,4,2020-09-21 23:45,'도착했읍니다' 짱깨네,169,3
44,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,5,2020-09-21 23:45,문자오기전에 통신사에서 알아서 해야하는거 아닌가 그렇게 문자오면 다 눌러보지 ㅉ,92,1
45,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,6,2020-09-21 23:45,2만원 안줘도되니까 이런거나 좀막아줘,29,1
46,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,7,2020-09-21 23:45,정부에서 재난지원금 문자로 보낸다고했잖아요. 그럼 일반인들이 어떻게 분별하라는건가요,25,0
47,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,8,2020-09-21 23:45,조선족들 때문에 보이스피싱 왕국이 되었다...조선족들을 짱께 나라로 삭다 추방하고 다시는 대한민국에 못들어오게하라...,19,1
48,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,9,2020-09-21 23:45,정부야 재난문자같지도않는 쓰레기문자 보내지말고 이런 나쁜쓰레기녀석들이나 좀 잡아봐라 제발...,18,0
49,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,10,2020-09-21 23:45,일단 문자로 오는 링크는 아무것도 안누른다,14,0
50,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,11,2020-09-21 23:45,이런건죽여버리는법좀만들자,13,0
51,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,12,2020-09-21 23:45,애초에 통신사에서 걸러질수없나. 기술로는 충분히 가능할것같은데,13,0
52,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,13,2020-09-21 23:45,이걸 소비자가 어떻게 알고 안누를수 있나? 근본적인 대책을 세워야지,13,1
53,'재난지원금 도착했습니다' 문자 무심코 눌렀다간 다 털린다,14,2020-09-21 23:45,"스미싱 문자 ,스팸 전화 못막는건가.안막는건가.문자,전화 차단 시켜 놓은건만 해도 백통에 달한다.차단 시켜도,계속 오는데 정부와 경찰은 손을 놓은 것인가.방관 하는 것인가.즐기는 것인가.모르긴 해도 북한에서도 엄청나게 날릴것이고.중국쪽에서도 날리고 있을것.좀 정부 차원에서 차단좀 시키고 걸러내고 조사하고 처벌하라.이게 나라냐.",12,0
